Date,Portfolio_Return,Monte_Carlo_VaR,Monte_Carlo_VaR_Dollar,Realized_Loss,Exception,Rolling_Exception_Rate,Rolling_Exception_Count,Exception_Severity
2021-09-15,0.0012448055064502082,0.015705295003050585,15705.295003050585,-0.0012448055064502082,False,0.004,1.0,0.0
2021-09-16,-0.007885759341800825,0.015651714155857508,15651.714155857508,0.007885759341800825,False,0.004,1.0,0.0
2021-09-17,-0.006447256353502318,0.015797254993047183,15797.254993047183,0.006447256353502318,False,0.004,1.0,0.0
2021-09-20,-0.008930961953693696,0.016057818633358586,16057.818633358585,0.008930961953693696,False,0.004,1.0,0.0
2021-09-21,0.002699121928253656,0.015791898630340154,15791.898630340154,-0.002699121928253656,False,0.004,1.0,0.0
2021-09-22,0.006767043561895303,0.015447029417858938,15447.029417858937,-0.006767043561895303,False,0.004,1.0,0.0
2021-09-23,-0.0009843722925835909,0.016196273614932595,16196.273614932596,0.0009843722925835909,False,0.004,1.0,0.0
2021-09-24,-0.004068460161232412,0.014933965628062889,14933.965628062888,0.004068460161232412,False,0.004,1.0,0.0
2021-09-27,-0.001187649279069869,0.014694271567919083,14694.271567919084,0.001187649279069869,False,0.004,1.0,0.0
2021-09-28,-0.017331160394928637,0.016215988801969033,16215.988801969033,0.017331160394928637,True,0.008,2.0,0.0011151715929596032
2021-09-29,-0.0024084775116975264,0.01634917473891567,16349.17473891567,0.0024084775116975264,False,0.008,2.0,0.0
2021-09-30,0.001989011985471678,0.015617184546407661,15617.184546407661,-0.001989011985471678,False,0.008,2.0,0.0
2021-10-01,0.005552350417544716,0.01573398037006261,15733.98037006261,-0.005552350417544716,False,0.008,2.0,0.0
2021-10-04,-0.00929105237193948,0.015357145104448577,15357.145104448577,0.00929105237193948,False,0.008,2.0,0.0
2021-10-05,0.0033296034181056204,0.015253170888434014,15253.170888434013,-0.0033296034181056204,False,0.008,2.0,0.0
2021-10-06,0.0026546067122323216,0.015749738559261338,15749.738559261337,-0.0026546067122323216,False,0.008,2.0,0.0
2021-10-07,0.004324798693684762,0.015266110208718223,15266.110208718223,-0.004324798693684762,False,0.008,2.0,0.0
2021-10-08,-0.0019260604670236605,0.01588970087297052,15889.700872970518,0.0019260604670236605,False,0.008,2.0,0.0
2021-10-11,-0.00426044326386883,0.01563890479539235,15638.904795392351,0.00426044326386883,False,0.008,2.0,0.0
2021-10-12,0.0021077960498692818,0.015734128490447558,15734.128490447558,-0.0021077960498692818,False,0.008,2.0,0.0
2021-10-13,0.010599687208519405,0.015345334932761332,15345.334932761332,-0.010599687208519405,False,0.008,2.0,0.0
2021-10-14,0.008905279651651865,0.015147373867429164,15147.373867429164,-0.008905279651651865,False,0.008,2.0,0.0
2021-10-15,0.0008556412981212125,0.015256568406768726,15256.568406768727,-0.0008556412981212125,False,0.008,2.0,0.0
2021-10-18,0.002544362807763445,0.01492872052314208,14928.72052314208,-0.002544362807763445,False,0.008,2.0,0.0
2021-10-19,0.0036039264386428685,0.015641770804842317,15641.770804842317,-0.0036039264386428685,False,0.008,2.0,0.0
2021-10-20,0.0008890807932516734,0.015259891720094782,15259.891720094782,-0.0008890807932516734,False,0.008,2.0,0.0
2021-10-21,2.980079656476074e-05,0.014873168879184469,14873.16887918447,-2.980079656476074e-05,False,0.008,2.0,0.0
2021-10-22,0.0011162660727272124,0.014982660786205488,14982.660786205488,-0.0011162660727272124,False,0.008,2.0,0.0
2021-10-25,0.005235450076052884,0.015944695677796314,15944.695677796313,-0.005235450076052884,False,0.008,2.0,0.0
2021-10-26,-4.855369621648013e-05,0.015295348850911099,15295.3488509111,4.855369621648013e-05,False,0.008,2.0,0.0
2021-10-27,0.0021276066982893085,0.014766797203884182,14766.797203884182,-0.0021276066982893085,False,0.008,2.0,0.0
2021-10-28,0.0036200919385626527,0.014928466471626609,14928.466471626609,-0.0036200919385626527,False,0.008,2.0,0.0
2021-10-29,-0.0026037609613680512,0.014853623395030923,14853.623395030923,0.0026037609613680512,False,0.008,2.0,0.0
2021-11-01,0.0022030329388935677,0.01422371981942839,14223.71981942839,-0.0022030329388935677,False,0.008,2.0,0.0
2021-11-02,0.0003100354829845389,0.015214011934176772,15214.011934176771,-0.0003100354829845389,False,0.008,2.0,0.0
2021-11-03,0.0005580971555678272,0.014444708763694959,14444.708763694958,-0.0005580971555678272,False,0.008,2.0,0.0
2021-11-04,0.007406944207279099,0.014014265644926778,14014.265644926778,-0.007406944207279099,False,0.008,2.0,0.0
2021-11-05,0.006253080152454648,0.014373175498127092,14373.175498127091,-0.006253080152454648,False,0.008,2.0,0.0
2021-11-08,0.0020891160351013574,0.014250425294369429,14250.425294369428,-0.0020891160351013574,False,0.008,2.0,0.0
2021-11-09,0.0007732075640606961,0.014217262610131285,14217.262610131285,-0.0007732075640606961,False,0.008,2.0,0.0
2021-11-10,-0.006853676182752011,0.013667450709663504,13667.450709663504,0.006853676182752011,False,0.008,2.0,0.0
2021-11-11,0.00489506305338292,0.014358197207624056,14358.197207624056,-0.00489506305338292,False,0.008,2.0,0.0
2021-11-12,0.0036543156459823757,0.013745752626977272,13745.752626977272,-0.0036543156459823757,False,0.008,2.0,0.0
2021-11-15,-0.0034518467026192217,0.01415887652981506,14158.876529815061,0.0034518467026192217,False,0.008,2.0,0.0
